Nom_complet,Age,Ville,Salaire,Statut
Michelle Robin,40.0,Lille,68713.0,Divorcé(e)
Théodore Samson,57.0,Bordeaux,49734.0,Divorcé(e)
,38.0,Lille,27052.0,Célibataire
Claude Maillet,33.0,Lille,23654.0,Divorcé(e)
Roland Blondel,62.0,Lille,43486.0,Divorcé(e)
Pénélope Gillet,,,38743.0,Marié(e)
Étienne Garcia,64.0,Bordeaux,68368.0,Divorcé(e)
Marguerite Mercier,41.0,Lille,,Marié(e)
Thomas Godard,43.0,Lyon,28636.0,Célibataire
Charlotte Masson,42.0,Marseille,26441.0,Célibataire
Nathalie Jacques,62.0,Marseille,,Divorcé(e)
,58.0,Marseille,,Célibataire
Marcel Pascal,,Bordeaux,74355.0,Divorcé(e)
Paulette Fleury,32.0,Bordeaux,62435.0,Célibataire
Susanne Boyer,62.0,Lyon,32149.0,Marié(e)
Frédérique Guyon,18.0,Marseille,54566.0,Marié(e)
Marcelle Hoareau,42.0,Marseille,,Marié(e)
Aurore Lesage,24.0,Lille,62368.0,Marié(e)
Agathe Alves,26.0,Bordeaux,41675.0,Divorcé(e)
Adélaïde Guilbert,41.0,Marseille,25495.0,Célibataire
Lucas Robert,18.0,Lyon,62668.0,Divorcé(e)
Hélène Bonnin,61.0,Lyon,33673.0,Marié(e)
Laurence Joubert,25.0,Marseille,31130.0,Divorcé(e)
René Brun,41.0,Bordeaux,,Célibataire
Martin Hoarau,28.0,Lyon,35222.0,Divorcé(e)
Camille Barbe,34.0,,43669.0,Célibataire
Matthieu Guyon,25.0,Lyon,54068.0,Divorcé(e)
Vincent Marion,52.0,Paris,43253.0,Célibataire
Maurice Joly,52.0,Paris,29435.0,Célibataire
Véronique Cordier,50.0,Bordeaux,48552.0,Marié(e)
Louis Verdier,22.0,Marseille,,Célibataire
Lucy Langlois,59.0,Bordeaux,57384.0,Marié(e)
,56.0,Bordeaux,36393.0,Marié(e)
William Gautier,58.0,Bordeaux,,Marié(e)
Julien Merle,45.0,Bordeaux,58520.0,Divorcé(e)
,24.0,Lille,29852.0,Divorcé(e)
Daniel Lagarde,26.0,Lille,51401.0,Divorcé(e)
Édith Guibert,25.0,Lyon,79975.0,
Emmanuel Lacombe,29.0,Paris,26295.0,Célibataire
Aurore Bazin,51.0,,73967.0,Célibataire
Thibaut Legendre,50.0,Lyon,70224.0,Divorcé(e)
Xavier Guillou,40.0,Paris,55993.0,Célibataire
Guillaume Lecoq,41.0,Marseille,54084.0,Célibataire
Océane Lemonnier,54.0,Lille,74851.0,
Odette Jourdan,52.0,Paris,65105.0,Marié(e)
Luc Dumont,61.0,Marseille,59575.0,Marié(e)
Laetitia Fischer,,Paris,75826.0,Marié(e)
Denise Alves,39.0,Lille,56451.0,Célibataire
Laure Fernandes,44.0,Lille,27227.0,Divorcé(e)
Édith Leroux,52.0,Lyon,51910.0,
,18.0,Bordeaux,56041.0,Célibataire
Valentine Ferrand,52.0,Paris,43384.0,Célibataire
Édith Dos Santos,54.0,Paris,20145.0,Marié(e)
Rémy Marie,64.0,Marseille,57778.0,Marié(e)
Maryse Perrier,31.0,Lille,36035.0,Marié(e)
Sophie Charrier,20.0,Paris,23040.0,Divorcé(e)
Théophile Mathieu,18.0,Lille,62422.0,Célibataire
Lucas Bodin,22.0,Paris,46160.0,Divorcé(e)
Gilles Chauveau,43.0,Lyon,69634.0,
Colette Raymond,31.0,Bordeaux,72331.0,Divorcé(e)
Adélaïde Grondin,56.0,Paris,37633.0,Célibataire
Isaac David,44.0,Lille,49344.0,Célibataire
Juliette Morel,26.0,Lyon,,Marié(e)
Christine Didier,32.0,Paris,34996.0,Marié(e)
Josette Valentin,32.0,Marseille,,Divorcé(e)
Dorothée Roux,43.0,Bordeaux,61621.0,Marié(e)
Pauline Chauveau,59.0,Paris,31695.0,Marié(e)
Benoît Lefèvre,30.0,Lyon,22852.0,Célibataire
Jeannine Picard,49.0,Marseille,36014.0,Marié(e)
Marguerite Prévost,56.0,Lyon,47042.0,Marié(e)
Gabrielle Delattre,49.0,Lyon,53755.0,Célibataire
Jeanne Chevalier,21.0,Marseille,60390.0,Célibataire
Robert Gomes,47.0,Lyon,43711.0,Divorcé(e)
Alexandrie Torres,54.0,Marseille,46122.0,Marié(e)
Capucine Roussel,40.0,Paris,77993.0,Célibataire
Madeleine Dubois,56.0,Marseille,,Divorcé(e)
,62.0,Marseille,47213.0,Divorcé(e)
Nath Rivière,32.0,Bordeaux,70252.0,Marié(e)
Édith De Sousa,,Marseille,59420.0,Marié(e)
Luc Guillaume,46.0,Marseille,77784.0,Divorcé(e)
Agnès Maillot,53.0,Paris,27421.0,Célibataire
Josette Navarro,30.0,Bordeaux,41400.0,Divorcé(e)
Christiane Baron,49.0,Lille,53537.0,Marié(e)
,24.0,Paris,37727.0,Célibataire
Mathilde Grégoire,39.0,Paris,66882.0,Célibataire
Augustin Guyon,,Lille,24358.0,Divorcé(e)
Patricia Michaud,19.0,Marseille,48482.0,Marié(e)
Gilles Hamel,59.0,Lyon,78921.0,Divorcé(e)
Olivier Pires,62.0,Bordeaux,52117.0,
Roland Guibert,23.0,,43164.0,Divorcé(e)
Édith Hardy,45.0,Lille,51910.0,Célibataire
Olivie Gauthier,45.0,Paris,52496.0,Célibataire
Lucie Merle,61.0,Paris,75754.0,Marié(e)
Édith Ferreira,61.0,Bordeaux,64311.0,Marié(e)
Michèle Allain,,Paris,49371.0,Divorcé(e)
Benjamin Maurice,47.0,Paris,71501.0,Divorcé(e)
Denis Lévy,28.0,Bordeaux,58467.0,Divorcé(e)
Juliette Lemonnier,45.0,Bordeaux,37625.0,Marié(e)
Alfred Lambert,42.0,Lille,53893.0,Célibataire
Benoît Roussel,56.0,Paris,30793.0,Célibataire
Sébastien Dupont,,Paris,51007.0,Divorcé(e)
Agnès Courtois,18.0,Lille,45766.0,Divorcé(e)
Gabrielle Cordier,44.0,Marseille,59532.0,Divorcé(e)
Sylvie Mendès,30.0,Marseille,74253.0,Divorcé(e)
,58.0,Marseille,32323.0,Marié(e)
Caroline Gautier,20.0,Lille,65799.0,Célibataire
Éléonore Martins,56.0,Paris,66820.0,Divorcé(e)
Adélaïde Coste,23.0,Lille,65408.0,Marié(e)
Georges Lecomte,25.0,Lille,,Divorcé(e)
Gilles Boutin,44.0,Marseille,34210.0,Divorcé(e)
Marie Chevalier,26.0,Lyon,36456.0,Célibataire
Margot Dias,54.0,Paris,51367.0,Divorcé(e)
Édouard Morel,50.0,Marseille,74624.0,Célibataire
Alain Alexandre,59.0,Lyon,30106.0,Célibataire
,61.0,Lyon,57957.0,
Roland Bègue,41.0,Bordeaux,22472.0,Marié(e)
Thierry Bouchet,32.0,Paris,69859.0,Marié(e)
Camille Loiseau,49.0,Lyon,70956.0,Célibataire
Bernard Maillot,49.0,Marseille,26704.0,Divorcé(e)
,41.0,Bordeaux,23713.0,Célibataire
Margot Allain,,Paris,25051.0,Divorcé(e)
Édouard Chauvin,29.0,Lille,30756.0,Célibataire
Frédérique Pinto,56.0,Marseille,22475.0,Divorcé(e)
,19.0,,56378.0,Marié(e)
Antoine Lacombe,20.0,Lyon,24255.0,Divorcé(e)
Grégoire Lombard,54.0,Marseille,34484.0,Célibataire
Sébastien Raymond,34.0,Lyon,,Marié(e)
Bertrand Toussaint,19.0,Bordeaux,54503.0,Divorcé(e)
Olivie Wagner,19.0,Paris,78929.0,Divorcé(e)
Lucy Ollivier,45.0,Bordeaux,28258.0,Divorcé(e)
Marie De Oliveira,40.0,Lyon,60747.0,Divorcé(e)
Marie Langlois,54.0,Lille,55196.0,Divorcé(e)
Madeleine Lombard,49.0,Paris,65113.0,Marié(e)
Sylvie Chauvet,50.0,Paris,60194.0,Marié(e)
Paulette Valette,18.0,Marseille,28533.0,Marié(e)
Isaac Blin,36.0,,52581.0,Marié(e)
Camille Nicolas,19.0,Lille,25249.0,Célibataire
Joseph Klein,61.0,Paris,74443.0,Marié(e)
Marcelle Barre,43.0,Lille,39201.0,Divorcé(e)
Adrienne Gimenez,49.0,Marseille,,Divorcé(e)
Eugène Garcia,23.0,Marseille,73026.0,Marié(e)
Thierry Loiseau,49.0,Paris,79745.0,Divorcé(e)
,21.0,Bordeaux,29686.0,Marié(e)
Emmanuelle Leclercq,28.0,Lyon,66877.0,Divorcé(e)
Colette Carpentier,34.0,,73363.0,Célibataire
Benjamin Pages,55.0,Marseille,52007.0,Célibataire
Éléonore Hoarau,41.0,Bordeaux,20661.0,Marié(e)
Laure Vidal,22.0,Bordeaux,,Marié(e)
Odette Martinez,51.0,Lille,50137.0,Marié(e)
Simone Delaunay,23.0,Lille,67556.0,Divorcé(e)
Hortense Monnier,39.0,Lyon,62828.0,Marié(e)
Roger Gaudin,28.0,Lyon,68604.0,Célibataire
Aurélie Verdier,33.0,Paris,30526.0,Divorcé(e)
Jérôme Deschamps,50.0,Lille,23374.0,Marié(e)
Claire Ribeiro,26.0,Marseille,45592.0,Divorcé(e)
Laurence Boutin,23.0,Lille,48982.0,Divorcé(e)
Lucas Prévost,33.0,Marseille,20207.0,Marié(e)
Martine Tessier,46.0,Bordeaux,55433.0,Divorcé(e)
Audrey Guillon,20.0,Lille,71645.0,Célibataire
Pierre Olivier,37.0,Bordeaux,43197.0,Célibataire
Élisabeth Olivier,53.0,Lyon,53400.0,Divorcé(e)
Andrée Gérard,36.0,,79446.0,Marié(e)
Laure Boyer,43.0,Paris,23083.0,Divorcé(e)
Thierry Chartier,20.0,Lille,49328.0,Célibataire
Maggie Dupré,36.0,Bordeaux,66479.0,Divorcé(e)
Étienne Fleury,37.0,Marseille,62891.0,Divorcé(e)
Gabrielle Lambert,49.0,Lyon,40103.0,Célibataire
Inès Bonnet,24.0,Lyon,59891.0,Divorcé(e)
Dominique Lemaire,58.0,Marseille,30754.0,Divorcé(e)
,50.0,Bordeaux,,Marié(e)
Adélaïde Paris,57.0,Bordeaux,35901.0,Marié(e)
Anaïs Joseph,56.0,Lille,53004.0,Célibataire
Bertrand Richard,35.0,Lille,27446.0,Célibataire
Alphonse Renault,57.0,Paris,57211.0,Célibataire
Laetitia Lagarde,18.0,Lyon,75922.0,Marié(e)
Georges Vasseur,28.0,Lille,68231.0,Célibataire
Nicolas Becker,45.0,Bordeaux,49301.0,Célibataire
Joséphine Blanchet,42.0,Marseille,46116.0,Célibataire
Guy Duval,40.0,Bordeaux,75251.0,Marié(e)
Pierre Adam,48.0,Lyon,61323.0,Divorcé(e)
Sabine Clément,47.0,Bordeaux,38752.0,Célibataire
Anouk Toussaint,59.0,Paris,52376.0,Divorcé(e)
Julie Bouvier,52.0,Lyon,36669.0,Célibataire
Jeanne Fernandez,24.0,Marseille,52916.0,Divorcé(e)
Caroline Bouvet,33.0,Paris,33395.0,Marié(e)
Adélaïde Riou,43.0,Lyon,40421.0,Marié(e)
Denise Lemaire,19.0,Marseille,75701.0,Célibataire
Odette Langlois,18.0,Paris,76273.0,Divorcé(e)
Laurence Parent,29.0,Paris,46342.0,Marié(e)
Auguste Breton,22.0,Lyon,24895.0,Célibataire
Gilles Tanguy,54.0,Lille,74432.0,Célibataire
Jules Delattre,49.0,Paris,70164.0,Marié(e)
Isabelle Leclercq,26.0,Paris,31023.0,Marié(e)
Luc Hernandez,58.0,,,Célibataire
Adrienne Vallet,52.0,,29715.0,Divorcé(e)
Christiane Caron,36.0,,39169.0,
Eugène Monnier,33.0,Lyon,79900.0,Divorcé(e)
Gérard Ledoux,20.0,Lille,72877.0,Célibataire
Marguerite Pons,37.0,Lille,36163.0,Marié(e)
,,Lyon,73728.0,Célibataire
Georges Adam,50.0,Lille,25782.0,
Maurice Leleu,41.0,Marseille,42641.0,Divorcé(e)
Valérie Pierre,28.0,Lyon,78945.0,Divorcé(e)
Stéphanie Albert,25.0,Lille,38792.0,Marié(e)
Maurice Perrin,53.0,Lyon,,
Maggie Blot,55.0,Bordeaux,55585.0,Célibataire
Corinne Riou,57.0,Paris,50682.0,Divorcé(e)
Luce Baron,37.0,Lyon,67864.0,Célibataire
Grégoire Gonzalez,52.0,Paris,38880.0,Célibataire
Julien Delannoy,42.0,Lille,75114.0,Célibataire
Hugues Rocher,52.0,Paris,58067.0,
,42.0,Lyon,62685.0,Célibataire
Geneviève Dijoux,46.0,Bordeaux,76726.0,Célibataire
Éléonore Barthelemy,35.0,Lille,38073.0,Célibataire
Pierre Perrier,63.0,Lyon,56035.0,Célibataire
Catherine Allard,35.0,Lille,57174.0,Célibataire
Capucine Aubert,19.0,Marseille,44837.0,Célibataire
Christophe Charrier,52.0,Paris,37826.0,Divorcé(e)
Eugène Chrétien,33.0,Marseille,44981.0,Célibataire
Luce Verdier,58.0,Lyon,30382.0,Marié(e)
Capucine Laporte,53.0,Bordeaux,24437.0,Célibataire
Océane Peltier,50.0,Lille,25435.0,Célibataire
Hortense Boutin,21.0,Paris,44819.0,Divorcé(e)
Amélie Vasseur,50.0,Lille,56875.0,
Margot Colin,31.0,Lyon,51982.0,Marié(e)
Monique Blin,38.0,Lille,53328.0,Marié(e)
Christine Gonzalez,37.0,Paris,32329.0,Divorcé(e)
Margaux Antoine,25.0,Lyon,45169.0,
Henriette Grégoire,24.0,Lille,41932.0,Célibataire
Michèle Vincent,20.0,Bordeaux,54594.0,
Aimée Valette,34.0,Lyon,31421.0,Marié(e)
Astrid Costa,50.0,Lyon,65033.0,
Thomas Da Costa,29.0,Bordeaux,27629.0,Marié(e)
Dorothée Lemoine,39.0,Marseille,28325.0,Célibataire
William Blanc,39.0,Paris,72290.0,
Madeleine Leclercq,63.0,Marseille,48495.0,Marié(e)
Antoine Gillet,47.0,,51750.0,Célibataire
Eugène Thomas,55.0,Bordeaux,49619.0,Célibataire
Nathalie Blin,55.0,Marseille,,Divorcé(e)
Madeleine Guérin,62.0,Lyon,28264.0,Divorcé(e)
Émilie Perrin,25.0,Lille,32686.0,Divorcé(e)
Adèle Fernandez,44.0,Lille,66484.0,Marié(e)
Nicolas Guillet,44.0,Marseille,44226.0,Célibataire
Denis Lemoine,51.0,Marseille,26721.0,Divorcé(e)
Michel Baudry,38.0,Bordeaux,76154.0,Marié(e)
,47.0,Paris,40609.0,Marié(e)
Sabine Regnier,50.0,Marseille,72130.0,Marié(e)
Célina Grenier,45.0,Marseille,27373.0,Divorcé(e)
Auguste Hamel,64.0,Lyon,58675.0,Divorcé(e)
Denis Bouvier,50.0,Lille,75249.0,Célibataire
Alexandre Philippe,22.0,Paris,68895.0,Célibataire
Denis Sauvage,36.0,Lyon,48937.0,Divorcé(e)
Denise Martins,21.0,Bordeaux,25656.0,
Timothée Bouchet,52.0,,79329.0,Marié(e)
Bertrand Caron,,Marseille,28984.0,Marié(e)
Matthieu Lucas,61.0,Marseille,49984.0,Célibataire
Anaïs Gillet,45.0,Bordeaux,73411.0,Marié(e)
Dominique Weber,47.0,Marseille,28286.0,Célibataire
Éric Charrier,46.0,Paris,25901.0,Célibataire
Antoinette Dijoux,63.0,Marseille,51552.0,Marié(e)
Josette Breton,23.0,,45709.0,Marié(e)
Simone Lebreton,52.0,Marseille,51055.0,Divorcé(e)
Arthur Leleu,58.0,Lyon,57685.0,Divorcé(e)
Véronique Fleury,54.0,Paris,,Marié(e)
Jérôme Blin,,Lyon,34716.0,Célibataire
Philippine Georges,46.0,Lyon,68563.0,Célibataire
Honoré Roy,63.0,Lille,31138.0,Célibataire
Anaïs Berthelot,48.0,Paris,55298.0,Célibataire
Anouk Renaud,52.0,Paris,71112.0,Célibataire
Étienne Fontaine,50.0,Paris,43429.0,Divorcé(e)
Océane Léger,38.0,,70200.0,Marié(e)
Henri Hamel,49.0,Paris,25772.0,Divorcé(e)
Patrick Lambert,40.0,Lille,68244.0,Célibataire
Antoine Olivier,50.0,Marseille,71681.0,Célibataire
Olivie Maillet,20.0,Lyon,68519.0,Célibataire
Roger Verdier,35.0,Paris,55732.0,Célibataire
Susanne Simon,42.0,Marseille,59905.0,Marié(e)
Élodie Pascal,59.0,Marseille,37347.0,Célibataire
,48.0,Lyon,36920.0,Marié(e)
Honoré Masson,20.0,Lille,51822.0,Célibataire
Gilles Breton,57.0,,66659.0,Marié(e)
Adrienne Lebon,63.0,Bordeaux,60108.0,Divorcé(e)
,41.0,,43563.0,Célibataire
Claudine Gaudin,49.0,Lyon,,Marié(e)
Stéphane Giraud,64.0,Bordeaux,65183.0,Divorcé(e)
Nicolas Breton,39.0,Marseille,31871.0,Célibataire
Chantal Renard,40.0,Lille,48763.0,Célibataire
Émile Léger,19.0,Bordeaux,31916.0,Célibataire
Diane Petitjean,44.0,Marseille,28734.0,Marié(e)
Marianne Dubois,59.0,,53613.0,Marié(e)
Alexandre Blanc,19.0,Paris,48179.0,Divorcé(e)
Thomas Berger,43.0,Lille,74929.0,Marié(e)
Laurence Fabre,34.0,Paris,72188.0,Marié(e)
Capucine Fabre,57.0,Lyon,75099.0,Célibataire
Hugues Devaux,50.0,Paris,55262.0,Célibataire
Alexandre David,26.0,Paris,32677.0,Célibataire
Camille Guérin,60.0,Bordeaux,71871.0,Célibataire
Franck Morel,56.0,,38268.0,Célibataire
Audrey Dupont,46.0,Lille,32330.0,Célibataire
Martin Jean,59.0,Paris,40733.0,Célibataire
Robert François,43.0,Lille,57947.0,Divorcé(e)
Eugène Buisson,52.0,Paris,47286.0,Divorcé(e)
Édith Marchal,42.0,Lyon,26610.0,Divorcé(e)
Alice Charpentier,41.0,,26430.0,Divorcé(e)
Hortense Bourdon,30.0,Bordeaux,59922.0,Célibataire
Paul Ferreira,24.0,Marseille,33828.0,Divorcé(e)
Auguste Lamy,53.0,Lyon,62913.0,Célibataire
Susan Bouvet,62.0,Paris,51497.0,Divorcé(e)
Jacques Garcia,37.0,Lille,59256.0,Marié(e)
Anouk Paris,18.0,Lyon,73889.0,Divorcé(e)
Vincent Dupont,25.0,Lyon,75677.0,Divorcé(e)
Élisabeth Lebrun,,Paris,56618.0,Célibataire
Nathalie Valette,33.0,Lyon,69841.0,Divorcé(e)
Frédéric Raymond,,Lille,66332.0,Marié(e)
Françoise Charles,29.0,Lyon,46526.0,Célibataire
Yves Alexandre,40.0,Lille,74327.0,Célibataire
Alexandria Pascal,32.0,Paris,50158.0,Divorcé(e)
Suzanne Guilbert,45.0,Marseille,45032.0,Célibataire
Inès Lemaire,51.0,Lyon,57846.0,Célibataire
Frédérique Traore,19.0,Marseille,79474.0,Célibataire
Maryse Maillot,49.0,Lille,64936.0,Célibataire
Gérard Paris,40.0,Lyon,49794.0,Célibataire
,39.0,Bordeaux,25448.0,Célibataire
Laetitia Collet,42.0,Marseille,70331.0,Marié(e)
Lucy Girard,39.0,Lyon,48861.0,Divorcé(e)
Philippine Lenoir,39.0,Marseille,48141.0,
Marcel Marchal,59.0,Lyon,,Célibataire
Claudine Ollivier,23.0,Paris,26406.0,Célibataire
Jérôme Meunier,,Marseille,51823.0,Divorcé(e)
Gabrielle Traore,60.0,Bordeaux,77743.0,Marié(e)
Lucy Duval,54.0,Bordeaux,43291.0,Divorcé(e)
Alex Barthelemy,50.0,Lille,61568.0,Marié(e)
Gilles Renaud,25.0,Lyon,52003.0,Célibataire
Diane Bonnet,61.0,Marseille,66851.0,Divorcé(e)
Zacharie Fontaine,61.0,Lille,54406.0,Divorcé(e)
Aurore Rocher,22.0,Marseille,74823.0,Célibataire
Madeleine Fernandez,56.0,Lyon,43312.0,Divorcé(e)
Patrick Marin,21.0,Bordeaux,63108.0,Marié(e)
Virginie Ruiz,23.0,Paris,21382.0,Marié(e)
Suzanne Toussaint,62.0,Bordeaux,54171.0,Marié(e)
Adrien Charles,49.0,Lille,61779.0,Marié(e)
Alain Perez,47.0,Paris,23292.0,Célibataire
,64.0,Lille,61779.0,Divorcé(e)
Joséphine Lopez,52.0,Lyon,53187.0,Marié(e)
Christine Pires,57.0,Paris,32411.0,Célibataire
Stéphanie Bernard,33.0,Lille,57285.0,Divorcé(e)
Maurice Lopes,30.0,Lyon,72454.0,Divorcé(e)
Jeanne Pinto,59.0,Bordeaux,77009.0,Célibataire
,47.0,Lyon,35422.0,Célibataire
Henriette Thierry,,Marseille,62468.0,Marié(e)
Jérôme Marchand,34.0,Lyon,52371.0,Divorcé(e)
Frédérique Duval,36.0,Lyon,77022.0,Divorcé(e)
Françoise Petit,45.0,Marseille,25693.0,Célibataire
Émilie Pons,43.0,Lille,53535.0,Divorcé(e)
Alex Leclerc,54.0,Lille,71196.0,
Margaud Masson,43.0,,34818.0,Divorcé(e)
Patrick Dumont,40.0,Marseille,51238.0,Célibataire
Valérie Roger,26.0,Marseille,50874.0,Célibataire
Alexandrie Lagarde,29.0,Bordeaux,46715.0,Marié(e)
Margaux De Sousa,18.0,,47605.0,Marié(e)
Alix Bernier,18.0,Paris,54317.0,Divorcé(e)
Céline Hubert,64.0,Lille,51174.0,Divorcé(e)
Marguerite Blin,,Lille,29956.0,Célibataire
Diane Blin,49.0,Bordeaux,58908.0,Marié(e)
Gabriel Lévy,42.0,Paris,30837.0,Marié(e)
René Valette,57.0,Bordeaux,23716.0,Marié(e)
Émilie Ribeiro,62.0,Paris,24481.0,Divorcé(e)
Antoinette François,18.0,Lyon,44282.0,Marié(e)
Chantal Dupuy,33.0,Paris,26548.0,Célibataire
Anne Bonnin,56.0,Bordeaux,71445.0,Célibataire
Alexandre Dumont,22.0,Lille,57605.0,Divorcé(e)
Hortense Morin,39.0,Paris,27758.0,Divorcé(e)
Madeleine Devaux,46.0,Paris,63668.0,Marié(e)
Alexandria Blot,20.0,Marseille,43177.0,Divorcé(e)
Corinne Blin,29.0,Lille,44022.0,Célibataire
Nath Perret,43.0,Lyon,60761.0,Marié(e)
Daniel Lopes,33.0,Bordeaux,75159.0,Célibataire
Christine Bouvier,54.0,Lyon,,Marié(e)
Véronique Lemaître,39.0,Lille,45476.0,Divorcé(e)
Étienne Petit,46.0,Paris,50784.0,Marié(e)
Bertrand Schneider,31.0,Paris,42740.0,Marié(e)
Marthe Garnier,45.0,Lille,79353.0,Célibataire
Jean Jacquot,22.0,Paris,44817.0,
Aurore Delaunay,64.0,Paris,67596.0,Marié(e)
Constance François,47.0,Paris,76532.0,Divorcé(e)
Marie Chauvet,63.0,Bordeaux,36052.0,Divorcé(e)
Michelle Courtois,22.0,Bordeaux,55153.0,Célibataire
Michèle Lemaître,29.0,Marseille,67076.0,Divorcé(e)
Roland Roche,33.0,Lyon,73420.0,Célibataire
Philippine Vincent,43.0,Lille,20671.0,Divorcé(e)
Alexandrie Leduc,43.0,Lille,20163.0,Marié(e)
Colette Bailly,38.0,Lille,61424.0,Célibataire
Marine Lefort,56.0,Marseille,,Célibataire
Vincent Collet,53.0,Bordeaux,73744.0,Marié(e)
Capucine Laine,50.0,Marseille,24795.0,Célibataire
Pénélope Bodin,47.0,Lille,,Divorcé(e)
Stéphane Prévost,54.0,Lyon,,Divorcé(e)
Thierry Maurice,40.0,Paris,42420.0,Célibataire
,27.0,Bordeaux,71507.0,Divorcé(e)
Michel Lopez,22.0,Bordeaux,75039.0,Célibataire
Monique Leclercq,53.0,Marseille,49300.0,Marié(e)
Isaac Daniel,,Bordeaux,44345.0,Célibataire
Monique Gomes,48.0,Lille,30749.0,Marié(e)
